subject PestNr Step_Size_OnTrial Pest_Faster Pest_Interval Condition block trial velH velH_Pest Reaction_Time velH_Subject Start_Above Response_MotionEstimation RightOrLeft
lala 21 0.001171875 1 first 14 1 268 5 5.000391 0.01999831199646 0 0 1 0
lala 14 0.009375 0 second 13 1 272 4 3.998125 0.01999831199646 0 1 -1 0
lala 12 0.0375 1 second 3 1 273 5 5.037499 0.01999831199646 -1 1 1 0
lala 14 0.01875 1 second 9 1 274 5 5.01875 0.01999831199646 1 1 1 0
lala 11 0.0375 0 second 7 1 275 4 3.97 0.01999831199646 1 1 -1 0
lala 18 0.0046875 1 first 17 1 276 6 6.001875 0.01999831199646 0 1 1 1
lala 15 0.009375 1 second 9 1 277 5 5.009375 0.01999831199646 1 1 1 1
lala 14 0.01875 0 first 16 1 279 6 5.984999 0.01999831199646 0 0 -1 1
lala 16 0.009375 0 first 15 1 280 5 5 0.01999831199646 0 1 -1 1
lala 15 0.009375 0 first 16 1 281 6 5.994374 0.01999831199646 0 0 -1 1
lala 16 0.009375 1 first 16 1 282 6 6.003749 0.01999831199646 0 0 1 1
lala 13 0.0375 0 first 5 1 283 6 5.992501 0.01999831199646 -1 1 -1 0
lala 18 0.00234375 1 second 4 1 284 6 6.001406 0.01999831199646 -1 0 1 1
lala 17 0.0046875 1 first 15 1 285 5 5.004687 0.01999831199646 0 1 1 0
lala 13 0.0375 0 first 3 1 286 5 5 0.01999831199646 -1 1 -1 0
lala 19 0.00234375 1 second 12 1 287 4 4.001719 0.01999831199646 0 0 1 0
lala 14 0.01875 1 first 5 1 288 6 6.011251 0.01999831199646 -1 1 1 0
lala 19 0.001171875 1 first 4 1 289 6 6.000234 0.01999831199646 -1 0 1 0
lala 12 0.01875 0 second 7 1 290 4 3.98875 0.01999831199646 1 1 -1 1
lala 14 0.01875 0 first 0 1 291 4 3.99 0.01999831199646 -1 0 -1 0
lala 14 0.01875 1 first 3 1 292 5 5.01875 0.01999831199646 -1 1 1 0
lala 15 0.009375 0 first 0 1 293 4 3.999375 0.01999831199646 -1 0 -1 0
lala 20 0.001171875 1 second 12 1 294 4 4.000547 0.01999831199646 0 0 1 1
lala 19 0.00234375 0 first 17 1 295 6 5.999532 0.01999831199646 0 1 -1 1
lala 15 0.0046875 1 first 13 1 297 4 4.002812 0.01999831199646 0 1 1 0
lala 15 0.009375 1 second 5 1 298 6 6.001876 0.01999831199646 -1 1 1 1
lala 17 0.0046875 0 first 16 1 299 6 5.999062 0.01999831199646 0 0 -1 1
lala 16 0.009375 0 second 5 1 300 6 5.992501 0.01999831199646 -1 1 -1 0
lala 19 0.00234375 0 first 2 1 301 5 4.999219 0.01999831199646 -1 0 -1 1
lala 16 0.009375 1 first 0 1 302 4 4.00875 0.01999831199646 -1 0 1 0
lala 15 0.009375 1 first 3 1 303 5 5.009375 0.01999831199646 -1 1 1 1
lala 16 0.009375 0 first 9 1 304 5 5 0.01999831199646 1 1 -1 1
lala 16 0.009375 0 second 3 1 305 5 5 0.01999831199646 -1 1 -1 0
lala 21 0.001171875 0 first 12 1 306 4 3.999375 0.01999831199646 0 0 -1 1
lala 18 0.00234375 1 second 16 1 307 6 6.001406 0.01999831199646 0 0 1 1
lala 19 0.001171875 1 second 16 1 308 6 6.000234 0.01999831199646 0 0 1 0
lala 7 0.3 1 first 1 1 309 4 4.12 0.01999831199646 -1 1 1 1
lala 13 0.01875 1 first 7 1 310 4 4.0075 0.01999831199646 1 1 1 0
lala 20 0.00234375 1 second 2 1 311 5 5.001563 0.01999831199646 -1 0 1 0
lala 20 0.001171875 0 first 4 1 312 6 5.999062 0.01999831199646 -1 0 -1 0
lala 20 0.001171875 1 second 17 1 313 6 6.000704 0.01999831199646 0 1 1 1
lala 14 0.009375 0 first 7 1 314 4 3.998125 0.01999831199646 1 1 -1 1
lala 17 0.0046875 1 first 9 1 315 5 5.004687 0.01999831199646 1 1 1 0
lala 18 0.00234375 1 first 9 1 316 5 5.002343 0.01999831199646 1 1 1 0
lala 18 0.00234375 1 second 15 1 318 5 5.002343 0.01999831199646 0 1 1 1
lala 21 0.0005859375 1 second 17 1 320 6 6.000118 0.01999831199646 0 1 1 0
lala 15 0.0046875 1 first 7 1 321 4 4.002812 0.01999831199646 1 1 1 0
lala 21 0.001171875 1 second 2 1 322 5 5.000391 0.01999831199646 -1 0 1 1
lala 16 0.00234375 1 second 7 1 323 4 4.000468 0.01999831199646 1 1 1 1
lala 8 0.15 0 second 1 1 324 4 3.97 0.01999831199646 -1 1 -1 1
lala 21 0.0005859375 0 first 4 1 325 6 5.999648 0.01999831199646 -1 0 -1 0
lala 16 0.00234375 1 second 13 1 330 4 4.000468 0.01999831199646 0 1 1 1
lala 17 0.00234375 0 second 7 1 332 4 3.998125 0.01999831199646 1 1 -1 0
lala 17 0.0046875 1 first 3 1 333 5 5.004687 0.01999831199646 -1 1 1 0
lala 9 0.075 1 second 1 1 334 4 4.045 0.01999831199646 -1 1 1 0
